<1>

{1,1}

[1,1.1]	athāto dharmajijñāsā.
[11,1.57]	tannyāyatvād aśakter ānupūrvyaṃ syāt saṃskārasya tadarthatvāt.
[11,1.58]	asaṃsṛṣṭo 'pi tādarthyāt.
[11,1.59]	vibhavād vā pradīpavat.
[11,1.60]	arthāt tu loke vidhitaḥ pratipradhānaṃ syāt.
[11,1.61]	sakṛd ijyāṃ kāmukāyanaḥ parimāṇavirodhāt.
[11,1.62]	vidhes tv itarārthatvāt sakṛd ijyāśrutivyatikramaḥ syāt.
[11,1.63]	vidhivat prakaraṇāvibhāge prayogaṃ bādarāyaṇaḥ.
[11,1.64]	api caikena sannidhānam aviśeṣako hetuḥ.
[11,1.65]	kvacid vidhānān neti cet.
[11,1.66]	na vidheś coditatvāt.
[11,1.67]	vyākhyātaṃ tulyānāṃ yaugapadyam agṛhyamāṇaviśeṣāṇām.
[11,1.68]	bhedas tu kālabhedāc codanāvyavāyāt syād viśiṣṭānāṃ vidhiḥ pradhānakālatvāt.
[11,1.69]	tathā cānyārthadarśanam.
[11,1.70]	vidhir iti cen na vartamānāpadeśāt.

{11,2}

[11,2.1]	ekadeśakālakartṛtva mukhyānām ekaśabdopadeśāt.
[11,2.2]	avidhiś cet karmaṇām abhisambandhaḥ pratīyeta tallakṣaṇārthābhisaṃyogād vidhitvāc cetareṣāṃ pratipradhānabhāvaḥ syāt.
[11,2.3]	aṅgeṣu ca tadabhāvaḥ pradhānaṃ pratinirdeśāt.
[11,2.4]	yadi tu karmaṇo vidhisambandhaḥ syād aikaśabdyāt pradhānārthābhidhāsaṃyogāt.
[11,2.5]	tathā tānyārthadarśanam.
[11,2.6]	śrutiś caiṣāṃ pradhānavat karmaśruteḥ parārthatvāt.
[11,2.7]	karmaṇo 'śrutitvāc ca.
[11,2.8]	aṅgāni tu vidhānatvāt pradhānenopadiśyeraṃs tasmāt syād ekadeśatvam.
[11,2.9]	dravyadevataṃ tatheti cet.
[11,2.10]	na codanāvidhiśeṣatvān niyamārtho viśeṣaḥ.
[11,2.11]	teṣu samavetānāṃ samavāyāt tantram aṅgāni bhedas tu tadbhedāt karmabhedaḥ prayoge syāt teṣāṃ pradhānaśabdatvāt tathā cānyārthadarśanam.
[11,2.12]	iṣṭirājasūyacāturmāsyeṣv aikakarmyād aṅgānāṃ tantrabhāvaḥ syāt.
[11,2.13]	kālabhedān neti cet.
[11,2.14]	naikadeśatvāt paśuvat.
[11,2.15]	api vā karmapṛthaktvāt teṣāṃ tantravidhānāt sāṅgānām upadeśaḥ syāt.
[11,2.16]	tathā cānyārthadarśanam.
[11,2.17]	tathā tadavayaveṣu syāt.
[11,2.18]	paśau tu codanaikatvāt tantrasya viprakarṣaḥ syāt.
[11,2.19]	tathā syād adhvarakalpeṣṭau viśeṣasyaikakālatvāt.
[11,2.20]	iṣṭir iti caikavacchrutiḥ.
[11,2.21]	api vā karmapṛthakatvāt teṣāṃ ca tantravidhānāt sāṅgānām upadeśaḥ syāt.
[11,2.22]	prathamasya vā kālavacanam.
[11,2.23]	phalaikatvād iṣṭiśabdo yathānyatra.
[11,2.24]	vasāhomas tantram ekadevateṣu syāt pradānasyaikakālatvāt.
[11,2.25]	kālabhedāt tv āvṛttir devatābhede.
[11,2.26]	ante yūpāhutis tadvat.
[11,2.27]	itarapratiṣedho vā.
[11,2.28]	aśāstratvāc ca deśānām.
[11,2.29]	avabhṛthe pradhāne 'gnivikāraḥ syān na hi taddhetur agnisaṃyogaḥ.
[11,2.30]	sāṅgo vā prayodavacanaikatvāt.
[11,2.31]	liṅgadarśanāc ca.
[11,2.32]	śabdavibhāgāc ca devatānapanayaḥ.
[11,2.33]	dakṣiṇe 'gnau varuṇapradhāseṣu deśabhedāt sarvaṃ kriyate.
[11,2.34]	acodaneti cet.
[11,2.35]	syāt paurṇamāsīvat.
[11,2.36]	prayogacedaneti cet.
[11,2.37]	ihāpi mārutyāḥ prayogaś codyate.
[11,2.38]	āsādānam iti cet.
[11,2.39]	nottareṇaikavākyatvāt.
[11,2.40]	avācyatvāt.
[11,2.41]	āmnāyavacanaṃ tadvat.
[11,2.42]	kartṛbhedas tatheti cet.
[11,2.43]	na samavāyāt.
[11,2.44]	liṅgadarśanāc ca.
[11,2.45]	vedisaṃyogād iti cet.
[11,2.46]	na deśamātratvāt.
[11,2.47]	ekavākyatvāt.
[11,2.48]	ekāgnitvād apareṣu tantraṃ syāt.
[11,2.49]	nānā vā kartṛbhedāt.
[11,2.50]	paryagnikṛtānām utsarge prājāpatyānāṃ karmotsargaḥ śrutisāmānayād āraṇyavat tasmād brahmasāmni codanāpṛthaktavaṃ syāt.
[11,2.51]	saṃskārapratiṣedho vā vākyaikatvo kratusāmānyāt.
[11,2.52]	vākyaikatve kratusāmānyāt.
[11,2.53]	vapānāṃ cānabhighāraṇasya darśanāt.
[11,2.54]	pañcaśāradīyās tatheti cet.
[11,2.55]	na codanaikavākyatvāt.
[11,2.56]	yātayāmatvāc ca.
[11,2.57]	saṃskāraṇāṃ ca taddarśanāt.
[11,2.58]	daśapeye krayapratikarṣāt pratikarṣas tataḥ prācāṃ tatsamānaṃ tantraṃ syāt.
[11,2.59]	samānavacanaṃ tadvat.
[11,2.60]	atikarṣo vārthahetutvāt.
[11,2.61]	pūrvasmiṃś cāvabhṛthasya darśanāt.
[11,2.62]	samānaḥ kālasāmānyāt.
[11,2.63]	niṣkāsasyāvabhṛthe tadekadeśatvāt paśuvat pradānaviprakarṣaḥ syāt.
[11,2.64]	apanayo vā prasiddhenābhisaṃyogāt.
[11,2.65]	pratipattir iti cenna karmasaṃyogāt.
[11,2.66]	udayanīye ca tadvat.
[11,2.67]	pratipattir vākarmasaṃyogāt.
[11,2.68]	arthakarma vā śeṣatvāc chrayaṇavat tadarthena vidhānāt.

{11,3}

[11,3.1]	aṅgānāṃ mukhyakālatvād vacanād anyakālatvam.
[11,3.2]	dravyasya karmakālaniṣpatteḥ prayogaḥ sarvārthaḥ syāt svakālatvāt.
[11,3.3]	yūpaś cākarmakālatvāt.
[11,3.4]	ekayūpaṃ ca darṣayati.
[11,3.5]	saṃskārās tv āvarterann arthakālatvāt.
[11,3.6]	tatkālas tu yūpakarmatvāt tasya dharmavidhānāt sarvārthānāṃ ca vacanād anyakālatvam.
[11,3.7]	sakṛnmānaṃ ca darśayati.
[11,3.8]	svarus tantrāpavargaḥ syād asvakālatvāt.
[11,3.9]	sādhāraṇe vānuniṣpattis tasya sādhāraṇatvāt.
[11,3.10]	somānte ca pratipattidarśanāt.
[11,3.11]	na cotpattivākyatvāt pradeśāt prastare tathā.
[11,3.12]	ahargaṇe viṣāṇāprāsanaṃ dharmavipratiṣedhād ante prathame vāhani vikalpaḥ syāt.
[11,3.13]	pāṇes tv aśrutibhūtatvād viṣāṇāniyamaḥ syāt prātaḥ savanamadhyatvāc chiṣṭe cābhipravṛttatvāt.
[11,3.14]	śiṣṭhe cābhipravṛttatvāt.
[11,3.15]	vāgvisargo haviṣkṛtā vījabhede tathā syāt.
[11,3.16]	yathāhvānam apīti cet.
[11,3.17]	paśau ca puroḍāśe samānatantraṃ bhavet.
[11,3.18]	aṅgapradhānārtho yogaḥ sarvāpavarge vimokaḥ syāt.
[11,3.19]	pradhānāpavarge vā tadarthatvāt.
[11,3.20]	avabhṛthe ca tadvat pradhānārthasya pratiṣedho 'pavṛktārthatvāt.
[11,3.21]	ahargaṇe ca pratyahaṃ syāt tadarthatvāt.
[11,3.22]	subrahmaṇyā tu tantraṃ dīkṣāvadanyakālatvāt.
[11,3.23]	tatkālāt tv ādāvarteta prayāgato viśeṣasambandhāt.
[11,3.24]	aprayogāṅgam iti cet.
[11,3.25]	prayoganirdeśāt karsṛbhedavat.
[11,3.26]	tadbhūtasthānād agnivad iti cet tadapavargas tadarthatvāt.
[11,3.27]	agnivad iti cet.
[11,3.28]	na prayogasādhāraṇyāt.
[11,3.29]	liṅgadarśanāc ca.
[11,3.30]	tad dhi tatheti cet.
[11,3.31]	nāśiṣṭatvād itaranyāyatvāc ca.
[11,3.32]	vidhyekatvād iti cet.
[11,3.33]	na kṛtsnasya punaḥ prayogāt pradhānavat.
[11,3.34]	laukiketu yathākāmī saṃskārānarthalopāt.
[11,3.35]	yajñāyudhāni dhāryeran pratipattividhānād ṛjīṣavat.
[11,3.36]	yajamānasaṃskāro vā tadarthaḥ śrūyate tatra yathākāmī tadarthatvāt.
[11,3.37]	mukhyadhāraṇaṃ vā maraṇasyāniyatatvāt.
[11,3.38]	yo vā yajanīye 'hani mriyeta so 'dhikṛtaḥ syād upaveṣavat.
[11,3.39]	na śāstralakṣaṇatvāt.
[11,3.40]	utpattir vā prayojakatvād āśiravat.
[11,3.41]	śabdāsāmajjasyam iti cet.
[11,3.42]	tathāśire 'pi.
[11,3.43]	śāstrāt tu viprayogas tatraikadravyacikīrṣā prakṛtāv athehāpūrvārthavad bhūtopadeśaḥ.
[11,3.44]	prakṛtyarthatvāt paurṇamāsyāḥ kriyeran.
[11,3.45]	agnyādheye vāvipratiṣedhāt tāni dhārayen maraṇasyānimittavāt.
[11,3.46]	pratipattir vā yathānyeṣām.
[11,3.47]	upariṣṭāt somānāṃ prājāpatyaiś carantīti.
[11,3.48]	aṅgaviparyāso vināvacanād iti cet.
[11,3.49]	utkarṣaḥ saṃyogāt kālamātram itaratra.
[11,3.50]	prakṛtikālāsatteḥ śastravatām iti cet.
[11,3.51]	na śrutipratiṣedhāt.
[11,3.52]	vikārasthāne iti cet.
[11,3.53]	na codanāpṛthaktvāt.
[11,3.54]	utkarṣe sūktavākasya na somadevatānām utkarṣaḥ paśvanaṅgatvād yathā niṣkarṣenānvayaḥ.
[11,3.55]	vākyasaṃyogād votkarṣaḥ samānatantratvād arthalopād ananvayaḥ.

{11,4}

[11,4.1]	codanaikatvād rājasūye 'nuktadeśakālānāṃ samavāyāt tantram aṅgāni.
[11,4.2]	pratidakṣiṇaṃ vā kartṛsambandhād iṣṭivad aṅgabhūtatvāt samudāyo hi tannirvṛttyātadekatvād ekatvād ekaśabdopadeśaḥ syāt.
[11,4.3]	tathā cānyārthadarśanam.
[11,4.4]	aniyamaḥ syād iti cet.
[11,4.5]	nopadiṣṭatvāt.
[11,4.6]	prayojanaikatvāt.
[11,4.7]	aviśeṣārthā punaḥ śrutiḥ.
[11,4.8]	aveṣṭau caikatantryaṃ syāl liṅgadarśanād vacanāt kāmasaṃyogena.
[11,4.9]	kratvarthāyām iti cen na varṇasaṃyogāt.
[11,4.10]	pavamānahaviḥṣvaikatantrya prayogavacanaikatvāt.
[11,4.11]	liṅgadarśanāc ca.
[11,4.12]	vartamānāpadeśād vacanāt tu tantrabhedaḥ syāt.
[11,4.13]	sahatve nityānuvādaḥ syāt.
[11,4.14]	dvādaśāhe tu prakṛtitvād ekaikam ahar apavṛjyeta karmapṛthaktvāt.
[11,4.15]	ahrāṃ vā śrutibhūtatvāt tatra sāṅgaṃ kriyeta yathā mādhyandine.
[11,4.16]	api vā phalakartṛsambandhāt saha prayogaḥ syād āgneyāgnīṣomīyavat.
[11,4.17]	sāṅgakālaśrutitvād vā svasthānānāṃ vikāraḥ syāt.
[11,4.18]	dīkṣopasadāṃ ca saṃkhyā pṛthakpṛthak pratyakṣasaṃyogāt.
[11,4.19]	vasatīvarīparyantāni pūrvāṇi tantram anyakālatvād avabhṛthādīny uttarāṇi dīkṣāvisargārthatvāt.
[11,4.20]	tathā cānyārthadarśanam.
[11,4.21]	codanāpṛthaktve tv aikatantryaṃ samavetānāṃ kālasaṃyogāt.
[11,4.22]	bhedas tu tadbhedāt karamabhedaḥ prayoge syāt teṣāṃ pradhānaśabdatvāt.
[11,4.23]	tathā cānyārthadarśanam.
[11,4.24]	śvāsutyāvacanaṃ tadvat.
[11,4.25]	paśvatirekaś ca.
[11,4.26]	sutyāvivṛddhau subrahmaṇyāyāṃ sarveṣām upalakṣaṇaṃ prakṛtyanvayād āvāhanavat.
[11,4.27]	api vendrābhidhānatvāt sakṛt syād upalakṣaṇaṃ kālasya lakṣaṇārthatvāt.
[11,4.28]	avibhāgāc ca.
[11,4.29]	paśugaṇe kumbhīśūlavapāśrapaṇīnāṃ prabhutvāt tantrabhāvaḥ syāt.
[11,4.30]	bhedas tu sandehād devatāntare syāt.
[11,4.31]	arthād vā liṅgakarma syāt.
[11,4.32]	pratipādyatvād vasānāṃ bhedaḥ syāt svayājyāpradānatvāt.
[11,4.33]	api vā pratipattitvāt tantraṃ syāt svatvasyāśrutibhūtatvāt.
[11,4.34]	sakṛd iti cet.
[11,4.35]	na kālabhedāt.
[11,4.36]	paktibhedāt kumbhīśūlavapāśraraṇīnāṃ bhedaḥ syāt.
[11,4.37]	jātyantareṣu bhedaḥ paktivaiṣamyāt.
[11,4.38]	vṛddhidarśanāc ca.
[11,4.39]	kapālāni ca kumbhīvat tulyasaṃkhyānām.
[11,4.40]	pratipradhānaṃ vā prakṛtivat.
[11,4.41]	sarveṣāṃ vābhiprathamaṃ syāt.
[11,4.42]	ekadravye saṃskārāṇāṃ vyākhyātam ekakarmatvāt.
[11,4.43]	dravyāntare kṛtārthatvāt tasya punaḥ prayogān mantrasya ca tadguṇatvāt punaḥ prayogaḥ syāt tadarthena vidhānāt.
[11,4.44]	nirvapaṇalavanastaraṇājyagrahaṇeṣu caikadravyavat prayojanaikatvāt.
[11,4.45]	dravyāntaravad vā syāt tatsaṃskārāt.
[11,4.46]	vediprokṣaṇe mantrābhyāsaḥ karmaṇaḥ punaḥ prayogāt.
[11,4.47]	ekasya vā guṇavidhir dravyaikatvāt tasmāt sakṛt prayogaḥ syāt.
[11,4.48]	kaṇḍūyane pratyaṅgaṃ karmabhedāt syāt.
[11,4.49]	api vā codanaikakālam aikakarmyaṃ syāt.
[11,4.50]	svapnanadītaraṇābhivarṣaṇāmedhyapratimantraṇeṣu caivam.
[11,4.51]	prayāṇe tv ārthanirvṛtteḥ.
[11,4.52]	uparavamantras tantraṃ syāl lokavad bahuvacanāt.
[11,4.53]	na sannipātitvād asannipātikarmaṇāṃ viśeṣagrahaṇe kālaikatvāt sakṛd vacanam.
[11,4.54]	haviṣkṛdadhrigupuro 'nuvākyāmanotasyāvṛttiḥ kālabhedāt syāt.
[11,4.55]	adhrigoś ca viparyāsāt.
[11,4.56]	kariṣyadvacanāt.

<12>

{12,1}

[12,1.1]	tantrisamavāye codanātaḥ samānānām ekatantryam atulyeṣu tu bhedaḥ syād vidhiprakramatād arthyāt śrutikālanirdeśāt.
[12,1.2]	guṇakālavikārāc ca tantrabhedaḥ syāt.
[12,1.3]	tantramadhye vidhānād vā mukhyatantreṇa siddhiḥ syāt tantrārthasyāviśiṣṭatvāt.
[12,1.4]	vikārāc ca na bhedaḥ syād arthasyāvikṛtatvāt.
[12,1.5]	ekeṣāṃ vāśakyatvāt.
[12,1.6]	āhopurīṣakaṃ syāt.
[12,1.7]	ekāgnivac ca darśanam.
[12,1.8]	jaimineḥ paratantratvāpatteḥ svatantrapratiṣedhaḥ syāt.
[12,1.9]	nānārthatvāt some darśapūrṇamāsaprakṛtīnāṃ vedikarma syāt.
[12,1.10]	akarma vā kṛtadūṣā syāt.
[12,1.11]	pātreṣu ca prasaṅgaḥ syād dhomārthatvāt.
[12,1.12]	nyāyyāni vā prayuktatvād aprayukte prasaṅgaḥ syāt.
[12,1.13]	śāmitre ca paśupuroḍāśo na syād itarasya prayuktatvāt.
[12,1.14]	śrapaṇaṃ vāgnihotrasya śālāmukhīye na syāt prājahitasya vidyamānatvāt.
[12,1.15]	havirdhāne nirvapaṇārthaṃ sādhayetāṃ prayuktatvāt.
[12,1.16]	asiddhir vānyadeśatvāt pradhānavaiguṇyād avaiguṇye prasaṅgaḥ syāt.
[12,1.17]	anasāñ ca darśanāt.
[12,1.18]	tadyuktatvaṃ ca kālabhedāt.
[12,1.19]	mantrāś ca sannipātitvāt.
[12,1.20]	dhāraṇārthatvāt some 'gnyanvādhānaṃ na vidyate.
[12,1.21]	tathā vratam apetatvāt.
[12,1.22]	vipratiṣedhāc ca.
[12,1.23]	satyavad iti cet.
[12,1.24]	na saṃyogapṛthaktvāt.
[12,1.25]	grahārthaṃ ca pūrvam iṣṭes tadarthatvāt.
[12,1.26]	śeṣavad iti cen na vaiśvadevo hi syād vyapadeśāt.
[12,1.27]	na guṇārthatvāt.
[12,1.28]	sannahanañ ca vṛttatvāt.
[12,1.29]	anyavidhānād āraṇyabhojanaṃ na syād ubhayaṃ hi vṛttyartham.
[12,1.30]	śeṣabhakṣās tatheti cen nānyārthatvāt.
[12,1.31]	bhṛtatvāc ca parikrayaḥ.
[12,1.32]	śeṣabhakṣās tatheti cet.
[12,1.33]	na karmasaṃyogāt.
[12,1.34]	pravṛttavaraṇāt prati tantravaraṇāt pratitantravaraṇaṃ hotuḥ kriyeta.
[12,1.35]	brahmāpīti cet.
[12,1.36]	na prāṅniyamāt tadarthaṃ hi.
[12,1.37]	nirdiṣṭasyeti cet.
[12,1.38]	na śrutatvāt.
[12,1.39]	hotus tatheti cet.
[12,1.40]	na karmasaṃyogāt.
[12,1.41]	yajñotpattyupadeśe niṣṭhitakarmaprayogabhedāt pratitantraṃ kriyeta.
[12,1.42]	deśapṛthaktvān mantro vyāvartate.
[12,1.43]	sannahanaharaṇe tatheti cet.
[12,1.44]	nānyārthatvāt.

{12,2}

[12,2.1]	vihāro laukikānām arthaṃ sādhayet prabhutvāt.
[12,2.2]	māṃsapākapratiṣedhaś ca tadvat.
[12,2.3]	nirdeśād vā vaidikānāṃ syāt.
[12,2.4]	sati copāsanasya darśanāt.
[12,2.5]	abhāvadarśanāc ca.
[12,2.6]	māṃsapāko vihitapratiṣedhaḥ syād āhutisaṃyogāt.
[12,2.7]	vākyaśeṣo vā dakṣiṇasminn anārabhyavidhānasya.
[12,2.8]	savanīye chidrāpidhānārthatvāt paśupuroḍāśo na syād anyeṣām evam arthatvāt.
[12,2.9]	kriyā vā devatārthatvāt.
[12,2.10]	liṅgadarśanāt.
[12,2.11]	haviṣkṛt savanīyeṣu na syāt prakṛtau yadi sarvārthā paśuṃ pratyāhūtā sā kuryād vidyamānatvāt.
[12,2.12]	paśau tu saṃskṛte vidhānāt.
[12,2.13]	yogād vā yajñāya tadvimoke visargaḥ syāt.
[12,2.14]	niśi yajñe prākṛtasyāpravṛttiḥ syāt pratyakṣaśiṣṭatvāt.
[12,2.15]	kālavākyabhedāc ca tantrabhedaḥ syāt.
[12,2.16]	vedyuddhananavrataṃ vipratiṣedhāt tad eva syāt.
[12,2.17]	tantramadhye vidhānād vā tattantrā savanīyavat.
[12,2.18]	vaiguṇyād idhmabarhir na sādhayed agnyanvādhānaṃ ca yadi devatārtham.
[12,2.19]	agnyanvādhānaṃ ca yadi devatārtham.
[12,2.20]	ārambhaṇīyā vikṛtau na syāt prakṛtikālamadhyatvāt kṛtā punas tadarthena.
[12,2.21]	sakṛd ārambhasaṃyogāt.
[12,2.22]	syād vā kālasyāśeṣabhūtatvāt.
[12,2.23]	āraṃbhavibhāgāc ca.
[12,2.24]	vipratiṣiddhadharmāṇāṃ samavāye bhūyasāṃ syāt sadharmakatvam.
[12,2.25]	mukhyaṃ vā pūrvacodanāl lokavat.
[12,2.26]	tathā cānyārthadarśanam.
[12,2.27]	aṅgaguṇavirodhe ca tādarthyāt.
[12,2.28]	paridher dvyarthatvād ubhayadharmā syāt.
[12,2.29]	yaupyas tu virodhe syān mukhyānantaryāt.
[12,2.30]	itaro vā tasya tatra vidhānād ubhayoś cāṅgasaṃyogaḥ.
[12,2.31]	paśusavanīyeṣu vikalpaḥ syād vaikṛtaś ced ubhayor aśrutibhūtatvāt.
[12,2.32]	pāśukaṃ vā tasya vaiśeṣikāmnānāt tadanarthakaṃ vikalpe syāt.
[12,2.33]	paśoś ca viprakarṣas tantramadhye vidhānāt.
[12,2.34]	apūrvaṃ ca prakṛtau samānatantrā ced anityatvād anarthakaṃ hi syāt.
[12,2.35]	adhikaś ca guṇaḥ sādhāraṇe 'virodhāt kāṃsyabhojivad amukhye 'pi.
[12,2.36]	tatpravṛttyā tu tantrasya niyamaḥ syād yathā pāśukaṃ sūktapākena.
[12,2.37]	na vāvirodhāt.
[12,2.38]	aśāstralakṣaṇatvāc ca.

{12,3}

[12,3.1]	viśvajiti vatsatvaṅnāmadheyād itarathā tantrabhūyastvād ahataṃ syāt.
[12,3.2]	avirodhī vā uparivāso hi vatsatvak.
[12,3.3]	anunirvāpyeṣu bhūyastvena tantraniyamaḥ syāc chviṣṭhakṛddarśanāc ca.
[12,3.4]	āgantukatvād vā svadharmā syāc chrutiviśeṣād itarasya ca mukhyatvāt.
[12,3.5]	svasthānatvāc ca.
[12,3.6]	sviṣṭakṛcchrapaṇān neti ced vikāraḥ pavamānavat.
[12,3.7]	avikāro vā prakṛtivac codanāṃ prati bhāvāc ca.
[12,3.8]	eka karmaṇi śiṣṭatvād guṇānāṃ sarvakarma syāt.
[12,3.9]	ekārthās tu vikalperan samuccaye hy āvṛttiḥ syāt pradhānasya.
[12,3.10]	abhyasyetārthavattvād iti cet.
[12,3.11]	nāśrutatvād dhi vikalpavac ca darśayati kālāntare 'rthavattvaṃ syāt.
[12,3.12]	prāyaścitteṣu caikārthyān niṣpannenābhisaṃyogas tasmāt sarvasya nirghātaḥ.
[12,3.13]	samuccayas tu doṣārthaḥ.
[12,3.14]	mantrāṇāṃ karmasaṃyogaḥ svadharmeṇa prayogaḥ syād dharmasya tannimittatvāt.
[12,3.15]	vidyāṃpratividhinād vā sarvakāraṇaṃ prayogaḥ syāt karmārthatvāt prayogasya.
[12,3.16]	bhāṣāsvaropadeśādairavat prāyavacanapratiṣedhaḥ.
[12,3.17]	mantropadeśo vā na bhāṣikasya prāyopapatter bhāṣikaśrutiḥ.
[12,3.18]	vikāraḥ kāraṇāgrahaṇe tannyāyatvād dṛṣṭe 'py evam.
[12,3.19]	tadutpatter vā pravacanalakṣaṇatvāt.
[12,3.20]	mantrāṇāṃ karaṇārthatvān mantrāntena karmādisannipātaḥ syāt sarvasya vacanārthatvāt.
[12,3.21]	saṃtatavacanād dhārāyām ādisaṃyogaḥ.
[12,3.22]	karamasaṃtāno vā nānākarmatvād itarasyāśakcatvāt.
[12,3.23]	āghāre ca dīrghadhāratvāt.
[12,3.24]	mantrāṇāṃ saṃnipātitvād ekārthānāṃ vikalpaḥ syāt.
[12,3.25]	saṃkhyāvihiteṣu samuccayo 'saṃnipātitvāt.
[12,3.26]	brāhmaṇavihiteṣu ca saṃkhyāvat sarveṣām upadiṣṭhatvāt.
[12,3.27]	yājyāvaṣaṭkārayoś ca samuccayadarśanaṃ tadvat.
[12,3.28]	vikalpo vā samuccayasyāśrutitvāt.
[12,3.29]	guṇārthatvād upadeśasya.
[12,3.30]	vaṣaṭkāre nānārthatvāt samuccayo hautrās tu vikalperann ekārthatvāt.
[12,3.31]	kriyamāṇānuvāditvāt samuccayo vā hautrāṇām.
[12,3.32]	samuccayaṃ ca darśayati.

{12,4}

[12,4.1]	japāś cākarmasaṃyuktāḥ stutyāśīrabhidhānāś ca yājamāneṣu samuccayaḥ syād āśīḥpṛthaktvāt.
[12,4.2]	samuccayaṃ ca darśayati.
[12,4.3]	yājyānuvākyāsu tu vikalpaḥ syād devatopalakṣaṇārthatvāt.
[12,4.4]	liṅgadarśanāc ca.
[12,4.5]	krayeṣu ti vikalpaḥ syād ekārthatvāt.
[12,4.6]	samuccayo vā prayogadravyasamavāyāt.
[12,4.7]	samuccayañ ca darśayati.
[12,4.8]	saṃskāre ca tatpradhānatvāt.
[12,4.9]	saṃkhyāsu tu vikalpaḥ syāc chrutipratiṣedhāt.
[12,4.10]	dravyavikārāt tu pūrvavad arthakarma syāt tayā vikalpena niyamapradhānatvāt.
[12,4.11]	dravyatve 'pi samuccayo dravyasya karmaniṣpatteḥ pratipaśukarmabhedād evaṃ sati yathāprakṛti.
[12,4.12]	kapāle 'pi tatheti cet.
[12,4.13]	na karmaṇaḥ parārthatvāt.
[12,4.14]	pratipattis tu śeṣatvāt.
[12,4.15]	śṛte 'pi pūrvavat syāt.
[12,4.16]	vikalpyo 'nvarthakarmaniyamapradhānatvāc chese ca karmakāryasamavāyāt tasamāt tenārthakarma syāt.
[12,4.17]	ukhāyāṃ kāmyanityasamuccayo niyoge kāmadarśanāt.
[12,4.17*]	asati cāsaṃskṛteṣu karma syāt.
[12,4.18]	tasya ca devatārthatvāt.
[12,4.19]	vikāro vā nityasyāgneḥ kāmyena taduktahetuḥ.
[12,4.20]	vacanād asaṃskṛteṣu karma syāt.
[12,4.21]	saṃsarge cāpi doṣaḥ syāt.
[12,4.22]	vacanād iti ced athetarasminn utsargāparigrahaḥ karmaṇaḥ kṛtatvāt.
[12,4.23]	sa āhavanīyaḥ syād āhutisaṃyogāt.
[12,4.24]	anyo voddhṛtyāharaṇāt tasmintsaṃskārakarma śiṣṭatvāt.
[12,4.25]	sthānāt tu parilupyeran.
[12,4.26]	nityādhāraṇe vikalpo na hy akasmāt pratiṣedhaḥ syāt.
[12,4.27]	nityadhāraṇād vā pratiṣedho gataśriyaḥ.
[12,4.28]	parārthāny ekaḥ pratiyantivat satrāhīnayo yajamānagaṇe 'niyamo 'viśeṣāt.
[12,4.29]	mukhyo vāvipratiṣedhāt.
[12,4.30]	satre gṛhapatir asaṃyogād dhautravad āmnāyavacanāc ca.
[12,4.31]	sarvaiḥ vā tadarthatvāt.
[12,4.32]	vipratiṣedhe param.
[12,4.33]	hautre parārthatvāt.
[12,4.34]	vacanaṃ param.
[12,4.35]	prabhutvād ārtvijyaṃ sarvavarṇānāṃ syāt.
[12,4.36]	smṛter vā syād brāhmaṇānām.
[12,4.37]	phalacamasavidhānāc cetareṣām.
[12,4.38]	sānnāyye 'py evaṃ pratiṣedhaḥ saumapīyahetutvāt.
[12,4.39]	caturdhākaraṇe ca nirdeśāt.
[12,4.40]	anvāhārye ca darśanāt. 
